p_close,n_close
446.1,445.9
445.9,440.1
440.1,422.3
422.3,405.2
405.2,414.65
414.65,425.15
425.15,411.25
411.25,419.05
419.05,418.75
418.75,424.9
424.9,427.25
427.25,420.75
420.75,416.05
